Species,Light_ISF,Light_Cat,Soil,Sterile,Conspecific,Myco_type,AMF,Phenolics,Lignin,NSC,Census,Time,Event,PlantSeason,EMF_log,Synthetic
Quercus rubra,0.122,High,Quercus alba,Non-Sterile,Heterospecific,EMF,20.76,3.97,21.96,17.34,7.0,24.5,1,Summer,3.609294974771094,0
Acer saccharum,0.133,High,Sterile,Sterile,Sterilized,AMF,9.0,0.15,10.65,11.14,7.0,24.5,0,Summer,3.3575937441800234,0
Quercus alba,0.066,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,22.94,4.54,21.75,17.7,33.0,115.5,0,Summer,3.7213466442514376,0
Prunus serotina,0.066,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,32.14,0.7,8.21,11.59,33.0,115.5,0,Monsoon,3.3575937441800234,0
Quercus alba,0.122,High,Quercus rubra,Non-Sterile,Heterospecific,EMF,6.0,5.6,27.28,16.4,7.0,24.5,0,Summer,3.868697880689772,0
Acer saccharum,0.133,High,Quercus alba,Non-Sterile,Heterospecific,AMF,18.04,0.25,14.29,12.65,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.133,High,Sterile,Sterile,Sterilized,AMF,5.0,0.29,10.49,11.89,7.0,24.5,0,Summer,3.3575937441800234,0
Quercus rubra,0.066,Low,Quercus rubra,Non-Sterile,Conspecific,EMF,17.6,2.48,26.45,10.97,20.0,70.0,1,Summer,2.5974910105351463,0
Quercus rubra,0.122,High,Quercus alba,Non-Sterile,Heterospecific,EMF,18.0,4.11,25.33,15.17,7.0,24.5,0,Summer,4.302983427333428,0
Quercus rubra,0.063,Low,Quercus alba,Non-Sterile,Heterospecific,EMF,16.04,3.78,21.29,17.9,33.0,115.5,0,Summer,3.250374491927572,0
Prunus serotina,0.063,Low,Sterile,Sterile,Sterilized,AMF,12.27,0.32,5.28,8.42,17.0,59.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.066,Low,Sterile,Sterile,Sterilized,EMF,11.34,2.63,25.72,11.49,21.0,73.5,1,Summer,2.253394848803274,0
Quercus alba,0.122,High,Acer saccharum,Non-Sterile,Heterospecific,EMF,0.0,5.46,21.68,18.75,7.0,24.5,0,Summer,0.0,0
Quercus rubra,0.063,Low,Quercus rubra,Non-Sterile,Conspecific,EMF,18.62,2.42,26.84,9.78,20.0,70.0,1,Summer,2.6932749155200555,0
Acer saccharum,0.133,High,Populus grandidentata,Non-Sterile,Heterospecific,AMF,12.0,-0.38,12.88,12.09,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus alba,0.122,High,Prunus serotina,Non-Sterile,Heterospecific,EMF,13.0,4.13,25.05,16.84,7.0,24.5,0,Summer,2.796061078424924,0
Quercus rubra,0.066,Low,Quercus rubra,Non-Sterile,Conspecific,EMF,17.6,2.48,26.45,10.97,33.0,115.5,0,Summer,2.5974910105351463,0
Quercus alba,0.066,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,18.74,4.77,26.68,14.83,23.0,80.5,1,Summer,3.679586407202344,0
Prunus serotina,0.122,High,Quercus rubra,Non-Sterile,Heterospecific,AMF,54.36,1.06,8.6,11.99,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.063,Low,Sterile,Sterile,Sterilized,AMF,2.36,-0.31,8.87,9.71,19.0,66.5,1,Summer,3.3575937441800234,0
Prunus serotina,0.133,High,Prunus serotina,Non-Sterile,Conspecific,AMF,51.0,0.75,10.03,13.73,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus alba,0.122,High,Quercus alba,Non-Sterile,Conspecific,EMF,4.0,5.45,25.29,16.71,7.0,24.5,0,Summer,4.190866129212723,0
Prunus serotina,0.111,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,9.0,0.77,6.45,10.65,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.133,High,Acer saccharum,Non-Sterile,Heterospecific,EMF,13.0,3.88,25.64,15.3,7.0,24.5,0,Summer,3.500741011998417,0
Acer saccharum,0.063,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,18.47,-0.15,10.21,10.66,17.0,59.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.122,High,Acer rubrum,Non-Sterile,Heterospecific,AMF,38.0,-0.64,10.89,12.04,7.0,24.5,0,Monsoon,3.3575937441800234,0
Acer saccharum,0.122,High,Quercus rubra,Non-Sterile,Heterospecific,AMF,16.28,0.33,13.32,12.22,7.0,24.5,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.111,Med,Sterile,Sterile,Sterilized,AMF,19.0,0.11,10.52,14.66,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus alba,0.066,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,19.69,3.74,18.95,21.1,33.0,115.5,0,Summer,3.4183822064162563,0
Acer saccharum,0.133,High,Sterile,Sterile,Sterilized,AMF,3.0,0.12,11.06,11.73,7.0,24.5,0,Summer,3.3575937441800234,0
Quercus alba,0.133,High,Acer saccharum,Non-Sterile,Heterospecific,EMF,15.0,5.48,19.08,26.49,7.0,24.5,0,Summer,3.349904087274605,0
Acer saccharum,0.105,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,24.0,-1.35,14.22,12.28,7.0,24.5,0,Monsoon,3.3575937441800234,0
Prunus serotina,0.105,Med,Sterile,Sterile,Sterilized,AMF,62.62,-0.1,7.37,11.64,7.0,24.5,0,Monsoon,3.3575937441800234,0
Prunus serotina,0.133,High,Acer saccharum,Non-Sterile,Heterospecific,AMF,6.0,0.87,5.22,8.53,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.133,High,Prunus serotina,Non-Sterile,Heterospecific,EMF,20.0,3.45,20.59,18.88,7.0,24.5,0,Summer,3.42816382989197,0
Acer saccharum,0.105,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,3.0,-0.11,12.3,12.5,7.0,24.5,0,Monsoon,3.3575937441800234,0
Prunus serotina,0.063,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,23.46,0.28,5.14,6.73,33.0,115.5,0,Monsoon,3.3575937441800234,0
Prunus serotina,0.065,Low,Quercus rubra,Non-Sterile,Heterospecific,AMF,32.61,0.71,8.13,11.57,33.0,115.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.105,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,17.0,3.71,23.31,16.67,7.0,24.5,0,Summer,3.9471970804358,0
Prunus serotina,0.077,Med,Acer saccharum,Non-Sterile,Heterospecific,AMF,47.55,0.61,5.31,7.89,33.0,115.5,0,Monsoon,3.3575937441800234,0
Acer saccharum,0.077,Med,Sterile,Sterile,Sterilized,AMF,9.04,-0.01,10.62,11.92,18.0,63.0,1,Summer,3.3575937441800234,0
Quercus alba,0.111,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,24.0,4.3,19.13,24.46,7.0,24.5,0,Summer,0.0,0
Quercus alba,0.133,High,Sterile,Sterile,Sterilized,EMF,0.0,4.29,18.8,22.53,7.0,24.5,0,Summer,0.0,0
Quercus alba,0.105,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,35.96,4.75,26.1,15.61,7.0,24.5,0,Summer,3.638638237677189,0
Prunus serotina,0.077,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,23.53,0.34,5.15,6.72,17.0,59.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.133,High,Quercus alba,Non-Sterile,Heterospecific,EMF,18.0,3.4,24.96,14.63,7.0,24.5,0,Summer,1.1118575154181305,0
Quercus rubra,0.133,High,Sterile,Sterile,Sterilized,EMF,1.0,3.54,20.78,18.23,7.0,24.5,0,Monsoon,0.0,0
Quercus alba,0.065,Low,Quercus alba,Non-Sterile,Conspecific,EMF,14.72,4.65,22.13,17.33,33.0,115.5,0,Summer,3.49650756146648,0
Quercus alba,0.105,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,2.0,4.61,18.49,24.81,7.0,24.5,0,Summer,3.857355604085838,0
Quercus alba,0.105,Med,Sterile,Sterile,Sterilized,EMF,0.0,3.59,20.23,19.45,7.0,24.5,0,Summer,0.0,0
Prunus serotina,0.105,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,3.0,0.32,10.75,14.44,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus alba,0.133,High,Acer saccharum,Non-Sterile,Heterospecific,EMF,29.0,5.57,20.23,21.64,7.0,24.5,0,Summer,3.509453700432007,0
Quercus rubra,0.133,High,Acer rubrum,Non-Sterile,Heterospecific,EMF,15.0,3.69,19.39,21.46,7.0,24.5,0,Summer,3.987872317711584,0
Acer saccharum,0.133,High,Populus grandidentata,Non-Sterile,Heterospecific,AMF,15.0,-0.38,14.7,12.44,7.0,24.5,0,Monsoon,3.3575937441800234,0
Acer saccharum,0.133,High,Quercus alba,Non-Sterile,Heterospecific,AMF,18.04,0.25,14.29,12.65,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.077,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,18.87,-0.08,10.79,10.99,18.0,63.0,1,Monsoon,3.3575937441800234,0
Quercus alba,0.133,High,Sterile,Sterile,Sterilized,EMF,2.0,4.28,22.87,16.83,7.0,24.5,0,Summer,0.0,0
Prunus serotina,0.105,Med,Sterile,Sterile,Sterilized,AMF,36.0,0.05,10.4,15.42,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.065,Low,Quercus rubra,Non-Sterile,Conspecific,EMF,18.54,2.45,26.93,10.1,33.0,115.5,0,Summer,3.139399623366404,0
Quercus alba,0.065,Low,Acer rubrum,Non-Sterile,Heterospecific,EMF,20.3,4.36,18.95,23.13,33.0,115.5,0,Summer,3.477232067938153,0
Quercus rubra,0.065,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,24.36,2.53,25.01,11.34,33.0,115.5,0,Summer,2.7549337870010606,0
Prunus serotina,0.133,High,Acer rubrum,Non-Sterile,Heterospecific,AMF,62.62,0.38,10.93,14.82,7.0,24.5,0,Monsoon,3.3575937441800234,0
Acer saccharum,0.105,Med,Sterile,Sterile,Sterilized,AMF,2.0,0.07,12.6,12.54,7.0,24.5,0,Summer,3.3575937441800234,0
Quercus rubra,0.077,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,19.14,3.74,23.03,16.63,20.0,70.0,1,Summer,3.379633203746315,0
Prunus serotina,0.105,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,56.0,0.64,11.78,13.53,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.133,High,Sterile,Sterile,Sterilized,EMF,24.0,3.68,25.6,15.1,7.0,24.5,0,Summer,1.235471471385307,0
Acer saccharum,0.105,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,13.0,-0.11,13.39,12.48,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.133,High,Prunus serotina,Non-Sterile,Heterospecific,EMF,25.0,3.53,23.63,15.81,7.0,24.5,0,Summer,3.411477691069712,0
Quercus alba,0.105,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,5.0,5.42,19.05,23.17,7.0,24.5,0,Summer,3.675287500594469,0
Quercus alba,0.105,Med,Sterile,Sterile,Sterilized,EMF,1.0,3.67,19.62,19.85,7.0,24.5,0,Summer,2.514465452029545,0
Prunus serotina,0.133,High,Prunus serotina,Non-Sterile,Conspecific,AMF,15.0,0.35,10.58,13.17,7.0,24.5,0,Monsoon,3.3575937441800234,0
Prunus serotina,0.065,Low,Sterile,Sterile,Sterilized,AMF,12.92,0.33,5.33,8.44,17.0,59.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.065,Low,Sterile,Sterile,Sterilized,EMF,10.48,2.56,19.51,18.18,33.0,115.5,0,Summer,1.3862943611198906,0
Quercus alba,0.065,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,20.85,4.75,24.39,15.84,33.0,115.5,0,Summer,3.326114575537799,0
Acer saccharum,0.065,Low,Acer rubrum,Non-Sterile,Heterospecific,AMF,18.76,-0.15,10.73,10.95,19.0,66.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.133,High,Acer rubrum,Non-Sterile,Heterospecific,AMF,17.04,-0.1,13.25,12.26,7.0,24.5,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.105,Med,Sterile,Sterile,Sterilized,AMF,62.62,-0.1,7.03,11.59,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.133,High,Acer rubrum,Non-Sterile,Heterospecific,EMF,27.0,2.96,18.09,16.02,7.0,24.5,0,Summer,4.02535169073515,0
Prunus serotina,0.105,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,39.0,0.64,8.46,11.76,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus alba,0.105,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,10.0,3.95,22.25,17.84,7.0,24.5,0,Summer,3.509453700432007,0
Acer saccharum,0.118,Med,Sterile,Sterile,Sterilized,AMF,8.38,0.14,10.63,11.53,7.0,24.5,0,Summer,3.3575937441800234,0
Quercus rubra,0.133,High,Prunus serotina,Non-Sterile,Heterospecific,EMF,47.0,2.17,25.13,12.27,7.0,24.5,0,Summer,1.6094379124341005,0
Quercus alba,0.133,High,Populus grandidentata,Non-Sterile,Heterospecific,EMF,18.0,5.19,19.93,19.91,7.0,24.5,0,Summer,4.161379963558259,0
Quercus rubra,0.077,Med,Sterile,Sterile,Sterilized,EMF,13.04,2.77,25.4,11.49,33.0,115.5,0,Summer,1.547562508716013,0
Acer saccharum,0.095,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,0.0,-0.24,14.24,12.32,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus alba,0.095,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,5.0,4.11,18.66,21.91,7.0,24.5,0,Summer,2.52011290552262,0
Quercus rubra,0.122,High,Quercus alba,Non-Sterile,Heterospecific,EMF,17.0,3.62,26.28,13.87,7.0,24.5,0,Summer,3.6780712553973327,0
Quercus alba,0.122,High,Sterile,Sterile,Sterilized,EMF,0.0,4.27,23.47,16.51,7.0,24.5,0,Summer,0.0,0
Quercus alba,0.122,High,Quercus rubra,Non-Sterile,Heterospecific,EMF,5.0,5.85,20.56,19.75,7.0,24.5,0,Summer,2.903616984646185,0
Quercus alba,0.065,Low,Sterile,Sterile,Sterilized,EMF,10.48,2.56,19.51,18.18,33.0,115.5,0,Summer,1.3862943611198906,0
Acer saccharum,0.095,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,16.19,0.14,14.43,12.6,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.122,High,Acer saccharum,Non-Sterile,Conspecific,AMF,20.67,0.44,13.41,12.45,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.095,Med,Sterile,Sterile,Sterilized,EMF,29.0,3.35,25.58,13.82,7.0,24.5,0,Summer,0.0,0
Quercus rubra,0.122,High,Quercus rubra,Non-Sterile,Conspecific,EMF,19.0,5.04,26.79,15.77,7.0,24.5,0,Summer,4.06285389513073,0
Prunus serotina,0.122,High,Quercus alba,Non-Sterile,Heterospecific,AMF,56.0,1.05,5.92,10.65,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus alba,0.065,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,22.92,4.53,21.73,17.69,33.0,115.5,0,Summer,3.687628672212284,0
Quercus alba,0.071,Low,Quercus rubra,Non-Sterile,Heterospecific,EMF,16.71,4.78,24.15,16.25,33.0,115.5,0,Summer,3.427189961936409,0
Quercus rubra,0.122,High,Acer rubrum,Non-Sterile,Heterospecific,EMF,15.0,3.71,19.99,21.25,7.0,24.5,0,Summer,4.214642950244135,0
Quercus rubra,0.095,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,22.0,3.49,27.02,14.21,7.0,24.5,0,Summer,1.4655675420143983,0
Quercus rubra,0.122,High,Prunus serotina,Non-Sterile,Heterospecific,EMF,15.0,2.5,24.29,12.45,7.0,24.5,0,Summer,2.079441541679836,0
Quercus alba,0.122,High,Sterile,Sterile,Sterilized,EMF,8.0,4.4,21.12,18.62,7.0,24.5,0,Summer,3.713572066704308,0
Quercus rubra,0.122,High,Acer saccharum,Non-Sterile,Heterospecific,EMF,52.0,3.83,23.88,16.38,7.0,24.5,0,Summer,3.507057772361633,0
Quercus rubra,0.065,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,17.98,3.72,20.73,18.25,33.0,115.5,0,Summer,3.414442608412176,0
Quercus alba,0.077,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,17.42,4.77,18.71,22.45,33.0,115.5,0,Summer,3.2906381910950917,0
Quercus rubra,0.095,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,17.0,3.92,21.6,17.5,7.0,24.5,0,Summer,3.044522437723423,0
Prunus serotina,0.095,Med,Prunus serotina,Non-Sterile,Conspecific,AMF,23.45,0.32,10.23,13.9,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.074,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,23.51,3.81,21.54,17.28,19.0,66.5,1,Summer,3.3703944725071104,0
Acer saccharum,0.095,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,14.13,-0.04,13.42,12.09,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.095,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,27.0,3.51,23.29,16.27,7.0,24.5,0,Summer,3.781002742989742,0
Quercus alba,0.095,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,2.0,4.1,26.62,15.5,7.0,24.5,0,Summer,3.713572066704308,0
Quercus alba,0.073,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,18.85,3.78,19.23,20.26,19.0,66.5,1,Summer,3.674273301724574,0
Quercus rubra,0.074,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,16.82,2.58,22.49,12.18,33.0,115.5,0,Summer,2.586259144048288,0
Acer saccharum,0.074,Low,Sterile,Sterile,Sterilized,AMF,7.43,-0.09,10.46,11.67,18.0,63.0,1,Summer,3.3575937441800234,0
Prunus serotina,0.111,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,40.89,0.83,9.15,11.88,7.0,24.5,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.111,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,28.35,0.59,10.92,13.79,7.0,24.5,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.118,Med,Prunus serotina,Non-Sterile,Conspecific,AMF,40.73,0.6,10.06,13.52,7.0,24.5,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.073,Low,Sterile,Sterile,Sterilized,AMF,11.31,0.25,6.04,10.08,17.0,59.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.118,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,10.0,3.8,21.51,17.67,7.0,24.5,0,Summer,3.218875824868201,0
Prunus serotina,0.111,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,27.28,0.28,11.08,13.71,7.0,24.5,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.111,Med,Sterile,Sterile,Sterilized,AMF,0.0,0.07,5.97,11.26,7.0,24.5,0,Monsoon,3.3575937441800234,0
Prunus serotina,0.073,Low,Sterile,Sterile,Sterilized,AMF,11.31,0.25,6.04,10.08,17.0,59.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.073,Low,Populus grandidentata,Non-Sterile,Heterospecific,EMF,18.88,4.61,21.36,18.14,33.0,115.5,0,Summer,3.799525974201,0
Quercus alba,0.074,Low,Quercus alba,Non-Sterile,Conspecific,EMF,16.82,4.73,25.01,15.5,33.0,115.5,0,Summer,3.585738695194423,0
Acer saccharum,0.118,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,20.89,0.47,13.5,12.44,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.111,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,18.0,3.03,25.82,13.7,7.0,24.5,0,Summer,3.713572066704308,0
Acer saccharum,0.111,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,14.56,0.25,13.46,12.21,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.074,Low,Sterile,Sterile,Sterilized,EMF,5.15,2.87,19.23,18.07,18.0,63.0,1,Summer,1.252762968495368,0
Prunus serotina,0.118,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,49.57,1.03,7.91,11.72,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.111,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,18.0,1.41,13.08,12.42,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.111,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,14.0,4.1,22.17,17.98,7.0,24.5,0,Summer,4.246922577489038,0
Quercus rubra,0.111,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,10.0,3.69,19.44,19.71,7.0,24.5,0,Summer,3.3867603338643857,0
Quercus alba,0.074,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,18.69,3.79,18.87,21.68,33.0,115.5,0,Summer,3.634687225030509,0
Acer saccharum,0.118,Med,Sterile,Sterile,Sterilized,AMF,8.38,0.14,10.63,11.53,7.0,24.5,1,Summer,3.3575937441800234,0
Quercus alba,0.118,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,12.0,5.81,24.02,17.07,7.0,24.5,0,Summer,4.083115080270552,0
Quercus rubra,0.074,Low,Sterile,Sterile,Sterilized,EMF,12.2,2.77,25.3,11.44,33.0,115.5,0,Summer,1.4770487243883548,0
Quercus rubra,0.111,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,6.0,3.69,28.39,14.54,7.0,24.5,0,Summer,1.3711807233098423,0
Quercus rubra,0.118,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,62.62,3.85,24.95,15.78,7.0,24.5,0,Summer,3.130263166511597,0
Quercus alba,0.118,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,46.0,5.24,21.37,18.08,7.0,24.5,0,Summer,3.9318256327243257,0
Acer saccharum,0.111,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,14.2,-0.06,13.31,12.23,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.073,Low,Quercus rubra,Non-Sterile,Heterospecific,EMF,17.42,4.86,24.81,15.89,33.0,115.5,0,Summer,3.513632810991944,0
Quercus alba,0.118,Med,Quercus alba,Non-Sterile,Conspecific,EMF,10.83,5.26,21.46,18.14,7.0,24.5,1,Summer,3.617383452408866,0
Acer saccharum,0.118,Med,Sterile,Sterile,Sterilized,AMF,8.38,0.14,10.63,11.53,7.0,24.5,1,Summer,3.3575937441800234,0
Quercus alba,0.074,Low,Sterile,Sterile,Sterilized,EMF,5.15,2.87,19.23,18.07,33.0,115.5,0,Summer,1.252762968495368,0
Acer saccharum,0.118,Med,Sterile,Sterile,Sterilized,AMF,8.38,0.14,10.63,11.53,7.0,24.5,1,Summer,3.3575937441800234,0
Quercus rubra,0.111,Med,Sterile,Sterile,Sterilized,EMF,19.0,3.68,23.52,15.97,7.0,24.5,0,Summer,1.843719208158766,0
Quercus alba,0.074,Low,Prunus serotina,Non-Sterile,Heterospecific,EMF,18.69,3.79,18.87,21.68,33.0,115.5,0,Summer,3.634687225030509,0
Quercus alba,0.118,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,43.0,5.46,20.17,21.02,7.0,24.5,0,Summer,3.7612001156935615,0
Acer saccharum,0.118,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,15.07,-0.05,13.14,12.23,7.0,24.5,1,Monsoon,3.3575937441800234,0
Prunus serotina,0.118,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,40.07,0.52,10.83,13.87,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.118,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,19.35,0.26,14.55,12.66,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.073,Low,Sterile,Sterile,Sterilized,AMF,2.54,-0.21,9.45,9.98,18.0,63.0,1,Summer,3.3575937441800234,0
Acer saccharum,0.111,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,22.34,0.64,13.71,12.52,7.0,24.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.074,Low,Populus grandidentata,Non-Sterile,Heterospecific,AMF,11.9,-0.22,10.83,11.31,17.0,59.5,1,Monsoon,3.3575937441800234,0
Acer saccharum,0.111,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,18.0,0.11,16.4,13.48,7.0,24.5,0,Monsoon,3.3575937441800234,0
Acer saccharum,0.141,High,Quercus alba,Non-Sterile,Heterospecific,AMF,16.14,0.31,14.16,13.01,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.074,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,12.89,4.71,21.32,17.89,21.0,73.5,1,Summer,3.559909072816976,0
Quercus rubra,0.073,Low,Acer saccharum,Non-Sterile,Heterospecific,EMF,20.7,3.8,21.73,17.35,19.0,66.5,1,Summer,3.3112726741341683,0
Prunus serotina,0.141,High,Sterile,Sterile,Sterilized,AMF,22.0,-0.34,9.87,13.11,7.0,24.5,0,Monsoon,3.3575937441800234,0
Quercus rubra,0.141,High,Acer saccharum,Non-Sterile,Heterospecific,EMF,14.0,4.09,19.64,23.53,7.0,24.5,0,Summer,3.4193646856176043,0
Acer saccharum,0.141,High,Acer rubrum,Non-Sterile,Heterospecific,AMF,15.82,-0.02,13.82,12.89,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus rubra,0.14,High,Quercus alba,Non-Sterile,Heterospecific,EMF,25.0,3.57,28.37,14.35,7.0,24.5,0,Summer,0.0,0
Quercus rubra,0.14,High,Acer rubrum,Non-Sterile,Heterospecific,EMF,18.0,3.13,27.38,12.59,7.0,24.5,0,Summer,2.511223958105374,0
Acer saccharum,0.14,High,Quercus rubra,Non-Sterile,Heterospecific,AMF,13.81,0.31,13.97,12.42,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.141,High,Populus grandidentata,Non-Sterile,Heterospecific,EMF,38.0,5.33,18.99,24.74,7.0,24.5,0,Summer,3.8533340090794654,0
Quercus alba,0.073,Low,Acer rubrum,Non-Sterile,Heterospecific,EMF,21.86,4.38,19.1,22.89,33.0,115.5,0,Summer,3.5313480661272005,0
Quercus rubra,0.141,High,Quercus alba,Non-Sterile,Heterospecific,EMF,30.0,4.03,19.55,24.83,7.0,24.5,0,Summer,3.973494327516247,0
Acer saccharum,0.14,High,Quercus rubra,Non-Sterile,Heterospecific,AMF,13.81,0.31,13.97,12.42,7.0,24.5,1,Monsoon,3.3575937441800234,0
Quercus alba,0.073,Low,Sterile,Sterile,Sterilized,EMF,5.18,2.83,19.23,18.12,33.0,115.5,0,Summer,1.205970806988609,0
Quercus rubra,0.14,High,Populus grandidentata,Non-Sterile,Heterospecific,EMF,20.0,3.97,26.65,15.0,7.0,24.5,0,Summer,4.0310497118497866,0
Quercus alba,0.141,High,Quercus rubra,Non-Sterile,Heterospecific,EMF,0.0,6.02,26.11,16.56,7.0,24.5,0,Summer,3.5729072778615154,0
Quercus alba,0.141,High,Quercus alba,Non-Sterile,Conspecific,EMF,5.0,5.88,23.54,17.66,7.0,24.5,0,Summer,3.626738057576087,0
Quercus rubra,0.14,High,Prunus serotina,Non-Sterile,Heterospecific,EMF,8.0,2.33,24.94,12.1,7.0,24.5,0,Summer,4.458640393292194,0
